,,,,,,,,,,10684,,MW capacity:,27407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reg_no,ref_no,company,site_location,subsite_name,county,mfg_date,original_permit_date,latest_permit_date,date_notes,quantity,capacity_bhp,capacity_kWe,total_capacity_kWe,manufacturer,model,equipment_type,tier,SCR,NOx_g_per_kWh,PM_g_per_kWh,NOx_lb_per_hr,CO_lb_per_hr,VOC_lb_per_hr,PM_lb_per_hr,SO2_lb_per_hr,NOx_uncontrolled_lb_per_hr,CO_uncontrolled_lb_per_hr,VOC_uncontrolled_lb_per_hr,PM_uncontrolled_lb_per_hr,NOx_controls,PM_controls,CO_controls,add_on_control,fuel_type,fuel_spec_raw,max_sulfur_wt_pct,fuel_throughput_limit_raw,operating_hr_per_year,possible_issues,additional_notes,transitory,exempt_from_permitting,
21527,ENG156 – ENG160,Microsoft Corporation – East Coast Data Center,"101 Herbert Drive near Boydton, Virginia",,Mecklenburg,2018,11/21/2018,9/19/2023,,5,3633,2500,12500,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,9.27,0.07,51.1,6.1,1.2,0.4,,,,,,electronic fuel injection and aftercooler,,,,diesel,DIESEL which meets the ASTM D975 specification for Grades 1 or 2: Maximum sulfur content per shipment:  0.0015% ,0.00%,,,,,FALSE,FALSE,
41064,"DCD-D, DCD-E, DCD-R",Equinix,"18155 Technology Drive Culpeper, VA 22701",,Culpeper ,,8/10/2018,8/10/2018,,3,3634,2500,7500,Caterpillar,3516C-HD,emergency diesel genset,Tier 2 + SCR,TRUE,0.87,0.07,4.81,6.09,1.12,0.4,,48.1,,,,closed loop SCR,,,Caterpillar CAT® Selective Catalytic Reduction (SCR),diesel,,0.00%,,500,,Permit specifies 10x higher NOx emissions with SCR not running,FALSE,FALSE,
41064,DCA-A through DCA-E and DCA-Swing,Equinix,"18155 Technology Drive Culpeper, VA 22701",,Culpeper ,,3/21/2008,8/10/2018,,6,3286,2250,13500,Caterpillar,3516BTA,emergency diesel genset,Tier 2,FALSE,9.35,0.11,46.36,9.33,0.98,0.54,,,,,,,,,N/A,diesel,,0.00%,,500,,,FALSE,FALSE,
41064,DCB-A through DCB-F,Equinix,"18155 Technology Drive Culpeper, VA 22701",,Culpeper ,,9/23/2009,8/10/2018,,6,3634,2500,15000,Caterpillar,3516C DITA,emergency diesel genset,Tier 2 + SCR,TRUE,0.87,0.07,4.81,5.86,1.17,0.4,,48.1,,,,closed loop SCR,,,SCR-Endure Systems,diesel,,0.00%,,500,,Permit specifies 10x higher NOx emissions with SCR not running,FALSE,FALSE,
41064,DCB-G through DCB-H,Equinix,"18155 Technology Drive Culpeper, VA 22701",,Culpeper ,,1/13/2016,8/10/2018,,2,2206,1500,3000,Caterpillar,3512C-HD,emergency diesel genset,Tier 2 + SCR,TRUE,0.96,0.07,3.17,4.17,0.77,0.22,,31.7,,,,closed loop SCR,,,Caterpillar CAT® Selective Catalytic Reduction (SCR),diesel,,0.00%,,500,,Permit specifies 10x higher NOx emissions with SCR not running,FALSE,FALSE,
41064,DCC-A through DCC-D,Equinix,"18155 Technology Drive Culpeper, VA 22701",,Culpeper ,,8/19/2010,8/10/2018,,4,3634,2500,10000,Caterpillar,3516C DITA,emergency diesel genset,Tier 2 + SCR,TRUE,0.87,0.07,4.81,5.86,1.17,0.4,,48.1,,,,closed loop SCR,,,SCR-Endure Systems,diesel,,0.00%,,500,,Permit specifies 10x higher NOx emissions with SCR not running,FALSE,FALSE,
41064,DCC-E through DCC-F,Equinix,"18155 Technology Drive Culpeper, VA 22701",,Culpeper ,,1/14/2015,8/10/2018,,2,2039,1500,3000,Rolls Royce,MTU 12V4000G43 Model 1500RXC6DT2,emergency diesel genset,Tier 2 + SCR,TRUE,0.97,0.11,3.21,3.04,0.71,0.36,,32.1,,,,closed loop SCR,,,AirClarityTM 1500 SCR Systems,diesel,,0.00%,,500,,Permit specifies 10x higher NOx emissions with SCR not running,FALSE,FALSE,
41064,DCD-A through DCD-C,Equinix,"18155 Technology Drive Culpeper, VA 22701",,Culpeper ,,6/10/2015,8/10/2018,,3,3634,2500,7500,Caterpillar,3516C-HD,emergency diesel genset,Tier 2 + SCR,TRUE,0.92,0.07,5.06,6.01,1.1,0.41,,50.6,,,,closed loop SCR,,,Caterpillar CAT® Selective Catalytic Reduction (SCR),diesel,,0.00%,,500,,Permit specifies 10x higher NOx emissions with SCR not running,FALSE,FALSE,
51232,EG77-EG79,"Quality Investment Properties Richmond, LLC","6000 Technology Boulevard, Sandston, Virginia",,Henrico,,6/24/2024,6/24/2024,,3,3674,2500,7500,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,8.73,0.11,48.1,6.1,1.2,0.6,,,,,,turbocharged engine and aftercooler,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,"The engine-generator sets (Ref. Nos. EG44–EG79) combined shall consume no more than 96,250 gallons of diesel fuel per year",,,,FALSE,FALSE,
51232,EG04-EG05,"Quality Investment Properties Richmond, LLC","6000 Technology Boulevard, Sandston, Virginia",,Henrico,,,6/24/2024,Original permit date not clear,2,2588,1825,3650,Caterpillar,3516C DITA,emergency diesel genset,Tier 1,FALSE,20.36,0.17,81.9,10.5,2,0.7,,,,,,turbocharged engine and aftercooler,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15 diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,"The engine-generator sets (Ref. Nos. EG04-EG05) combined shall consume no more than 4,042 gallons of diesel fuel per year",,,,FALSE,FALSE,
